1	695576	Constantin	Octavian	1571015199235
2	377881	Radu	Iulia	2620108340576
3	399264	Dinu	Ion	1730310052163
4	618154	Dumitrache	Gabriela	2860810045066
5	185169	Ionescu	Doru	1911201079161
6	665079	Constantin	Corina	2720406162868
7	740549	Stancu	Iulian	1610616155838
8	505797	Georgescu	Adrian	1961108023689
9	981613	Dumitru	Iulia	2710910117511
10	445230	Tudor	Doru	1910604254513
11	647610	Stancu	Mihai	1690927027450
12	552238	Dinu	Octavian	1980326348027
13	339429	Ionescu	Marius	1861109115598
14	506937	Barbu	Florin	1920327300705
15	258041	Ionita	Alexandru	1820711313026
16	139638	Stancu	Mihai	1620206363388
17	823727	Dinu	Maria	6000714103775
18	397345	Stoica	Elena	2690215313172
19	236797	Dobre	Daniel	1980805281947
20	316243	Popa	Mihai	5040709190053
21	837596	Dobre	Mihaela	2821108310535
22	422880	Dumitru	Marius	1910518163699
23	715596	Vasile	Laura	2970820253271
24	206827	Georgescu	Simona	2841007324708
25	952768	Vasile	Marius	1741217312592
26	063898	Stancu	Daniela	6010203095431
27	073461	Dinu	Alexandru	1691111230753
28	813394	Tudor	Laura	2890118190181
29	382549	Constantin	Daniel	1820111261444
30	124389	Stoica	Dragos	1840819158158
31	999871	Dumitru	Cristian	1990126153086
32	784470	Vasile	Costel	1671008176533
33	648350	Gheorghe	Doru	5030702393229
34	875088	Dumitrache	Adrian	1670119218846
35	378177	Dinu	Diana	2881227256013
36	121809	Dobre	Cristian	1880508224800
37	021667	Dumitrache	Dragos	1590306353051
38	268982	Popa	Daniel	1991113038470
39	313875	Radu	Diana	2571103080645
40	275942	Dragomir	Iulian	1980420100363
41	485424	Barbu	Elena	2811213409923
42	001578	Oprea	Gabriel	1980907260202
43	647828	Dinu	Cristian	1810916373073
44	536227	Constantin	Marius	1641127362586
45	605583	Dobre	Raluca	2720618169658
46	044915	Constantin	Elena	2830218263408
47	630390	Dobre	Marius	1910514069151
48	213119	Mihai	Adrian	1551221197472
49	684835	Gheorghe	Iulian	1651008361791
50	897315	Georgescu	Ana	6040530422902
51	459616	Ionita	Viorica	2960821111121
52	307123	Radu	Gabriela	2940416034149
53	784473	Oprea	Simona	2681209326309
54	793350	Stoica	Daniela	2640630297430
55	755001	Radu	Catalin	1730108369035
56	132469	Dobre	Elena	2590807208116
57	869782	Dragomir	Iulia	6040614283128
58	268581	Dumitru	Elena	2940923256213
59	216296	Dumitrache	Doru	5000209387778
60	767791	Stoica	Alina	6011106202935
61	008407	Dumitru	Corina	2660922045754
62	600628	Oprea	Viorica	2590331013176
63	740911	Ionita	Valentin	1670409254261
64	978909	Stoica	Mihaela	6000114052271
65	683431	Dumitru	Elena	2780524346366
66	240243	Oprea	Iulia	2551121013358
67	232530	Gheorghe	Diana	2800110205547
68	155540	Oprea	Ioana	2880723419162
69	372486	Tudor	Victor	1690424178529
70	635897	Dobre	Adrian	1660405428312
71	599561	Tudor	Stefan	1750303412866
72	954328	Dumitru	Gabriela	2980721413592
73	603653	Mihai	Elena	2880301055296
74	949641	Ionita	Ioana	2661018424886
75	247499	Georgescu	Cristina	2941209198802
76	313032	Dinu	Maria	2550117232341
77	271365	Stancu	Octavian	1880215040047
78	828337	Tudor	Laura	2870718026262
79	417460	Dragomir	Iulia	2821124377111
80	085560	Dumitrache	Ioana	6001011388429
81	454342	Vasile	Florin	1930713051861
82	326683	Gheorghe	Alina	2771217026266
83	458583	Popa	Ioana	2840703078787
84	153394	Dinu	Doru	1850711270341
85	889555	Popa	Ion	1990505348096
86	771107	Dragomir	Mihaela	2780201182131
87	317935	Ionita	Mihai	1551125307651
88	335261	Constantin	Andreea	2960803225301
