1,626673,Popa,Gabriela,2.77123E+12
2,903761,Dragomir,Raluca,2.68122E+12
3,660579,Georgescu,Adrian,1.80113E+12
4,119341,Popa,Laura,2.87071E+12
5,502896,Dumitrache,Mihai,1.69122E+12
6,681493,Dragomir,George,1.63022E+12
7,689205,Radu,Daniela,2.94041E+12
8,703826,Constantin,Marius,5.04032E+12
9,72029,Barbu,Mihai,1.55102E+12
10,168399,Vasile,Iulia,2.5605E+12
11,433721,Barbu,Diana,2.7811E+12
12,940999,Stoica,Ioana,6.03122E+12
13,485141,Dobre,Mihai,1.85092E+12
14,73889,Radu,Marius,1.76062E+12
15,999157,Popescu,Marius,1.57021E+12
16,72530,Georgescu,Laura,2.65041E+12
17,480495,Dumitru,Catalin,1.75093E+12
18,370369,Dobre,Cristina,2.93022E+12
19,208563,Georgescu,Alexandru,1.77121E+12
20,462680,Dumitrache,Raluca,2.79102E+12
21,924886,Constantin,Dragos,1.65093E+12
22,381837,Dinu,Mihai,1.66032E+12
23,492258,Radu,George,1.8905E+12
24,875033,Dumitrache,Roxana,2.87102E+12
25,450446,Ionescu,Viorica,2.63012E+12
26,370046,Dragomir,Costel,1.7508E+12
27,479689,Radu,Adrian,1.63041E+12
28,461128,Mihai,Florin,1.75121E+12
29,970352,Georgescu,Ana,2.60122E+12
30,507,Stancu,Corina,2.59073E+12
31,881594,Ionita,Alexandru,1.91022E+12
32,324431,Gheorghe,Mihaela,2.95043E+12
33,723074,Dumitrache,Gabriel,5.00111E+12
34,415362,Barbu,Eugen,1.72061E+12
35,742968,Mihai,Corina,2.6304E+12
36,308761,Dumitru,Catalin,1.64021E+12
37,720991,Vasile,Mihaela,2.93061E+12
38,68067,Georgescu,Victor,1.60031E+12
39,286314,Tudor,Daniel,1.73122E+12
40,631224,Dragomir,Doru,1.93061E+12
41,830526,Ionita,Ioana,2.85041E+12
42,357401,Dragomir,Andreea,2.69123E+12
43,701723,Georgescu,Elena,2.71011E+12
44,171905,Dinu,Cristina,2.61013E+12
45,923833,Mihai,Corina,2.72021E+12
46,310554,Constantin,Maria,2.60043E+12
47,812240,Ionita,Elena,2.72042E+12
48,559123,Dumitrache,Cristina,2.9808E+12
49,158,Constantin,Liliana,2.99092E+12
50,45590,Tudor,Alexandru,1.67121E+12
51,325028,Stoica,Laura,2.6102E+12
52,495598,Stancu,Iulian,1.56113E+12
